label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
Circle,0.5196021064950265,0.003510825043885263,0.5090696313633705,0.003510825043885263,0.5090696313633705,0.003510825043885263,0.6179052077238153,0.0,0.8431831480397896,0.4423639555295496,0.38092451726155635,1.0,0.0,0.7372732592159155,0.13867758923347037,0.24868344060854258,0.5196021064950265,0.04447045055588055,0.6459918080748978,0.019309537741369173
Circle,0.6031434184675835,0.005893909626719054,0.5926653569089718,0.005893909626719054,0.8113948919449899,0.08971840209561223,1.0,0.6149312377210212,0.48657498362802887,0.9803536345776026,0.02292075965946314,0.7288801571709231,0.0,0.25736738703339884,0.3071381794368039,0.015717092337917588,0.5180091683038637,0.0,0.5677799607072691,0.005893909626719054
Circle,0.5300353356890459,0.02296819787985871,0.5247349823321555,0.01766784452296825,0.644876325088339,0.03356890459363963,0.9275618374558304,0.47879858657243823,0.5565371024734983,1.0,0.04770318021201413,0.7791519434628977,0.0,0.2879858657243817,0.319787985865724,0.01590106007067153,0.6148409893992933,0.0,0.6784452296819788,0.01766784452296825
Circle,0.6793478260869565,0.043478260869565216,0.6521739130434783,0.043478260869565216,0.7717391304347826,0.06521739130434782,1.0,0.44021739130434784,0.6521739130434783,0.9565217391304348,0.10326086956521739,0.8043478260869565,0.0,0.33695652173913043,0.29347826086956524,0.03260869565217391,0.6521739130434783,0.0,0.75,0.03260869565217391
Circle,0.827027027027027,0.018018018018017994,0.9405405405405406,0.09549549549549545,1.0,0.46486486486486495,0.5243243243243243,0.8828828828828827,0.05945945945945946,0.7567567567567568,0.0,0.315315315315315,0.2972972972972973,0.04504504504504502,0.6162162162162165,0.0,0.7099099099099098,0.036036036036036063,0.7297297297297297,0.03423423423423421
Circle,0.5700575815738963,0.02879078694817658,0.5534229046705053,0.02879078694817658,0.767754318618042,0.09404990403071022,0.9577735124760078,0.5642994241842608,0.5348688419705695,1.0,0.037108125399872106,0.7875879718490082,0.0,0.3147792706333974,0.262316058861164,0.04926423544465779,0.5252719129878436,0.0,0.5758157389635316,0.0
Circle,0.585776668746101,0.028072364316905806,0.588271990018715,0.022457891453524646,0.6874610106051152,0.04865876481597001,0.954460386774797,0.43044291952588914,0.6756082345601996,1.0,0.10605115408608842,0.9288833437305055,0.0,0.4903306300686213,0.22395508421709345,0.1515907673112912,0.5377417342482845,0.027448533998752325,0.619463505926388,0.0
Circle,0.5722543352601156,0.05202312138728324,0.5606936416184971,0.046242774566473986,0.7630057803468208,0.09826589595375723,0.9421965317919075,0.5375722543352601,0.45664739884393063,1.0,0.017341040462427744,0.6936416184971098,0.0,0.23699421965317918,0.37572254335260113,0.0,0.5953757225433526,0.011560693641618497,0.6242774566473989,0.017341040462427744
Circle,0.7333333333333333,0.07407407407407413,0.7055555555555556,0.07407407407407413,0.7611111111111111,0.06296296296296301,1.0,0.2907407407407408,0.7833333333333333,0.9148148148148147,0.15000000000000033,0.8481481481481484,0.0,0.3240740740740741,0.3499999999999997,0.027777777777777936,0.6425925925925924,0.0,0.6555555555555556,0.024074074074074126
Circle,0.5629330254041572,0.005196304849884526,0.5577367205542727,0.0005773672055427415,0.5790993071593536,0.0,0.8781755196304852,0.136836027713626,0.9705542725173212,0.6685912240184758,0.37817551963048496,1.0,0.0,0.7430715935334871,0.0277136258660513,0.29330254041570386,0.34757505773672065,0.03464203233256346,0.5681293302540418,0.02598152424942263
Circle,0.7989130434782609,0.1340579710144927,0.7934782608695652,0.1231884057971014,0.7934782608695652,0.1231884057971014,1.0,0.26449275362318836,0.9619565217391305,0.8007246376811594,0.3731884057971012,0.9981884057971012,0.0,0.6068840579710144,0.1956521739130438,0.14673913043478223,0.6413043478260869,0.0,0.8206521739130435,0.06340579710144922
Circle,0.6420555227406971,0.0,0.6314235085646782,0.0,0.7070289427052568,0.01772002362669814,0.8759598346131129,0.41464855286473723,0.4134672179562908,1.0,0.0,0.755463673951565,0.05729474305965767,0.28174837566450067,0.45658594211459014,0.0850561134081512,0.6485528647371531,0.11163614884819845,0.663319551092735,0.09037212049616064
Circle,0.6518640350877194,0.052631578947368376,0.6419956140350878,0.052631578947368376,0.7450657894736844,0.07510964912280699,0.9610745614035089,0.5230263157894741,0.45065789473684215,1.0,0.0,0.5910087719298246,0.3081140350877198,0.07236842105263125,0.778508771929825,0.0,0.8294956140350878,0.047697368421052586,0.8294956140350878,0.047697368421052586
Circle,0.5008944543828264,0.07871198568872984,0.5008944543828264,0.06976744186046505,0.6404293381037567,0.030411449016100132,1.0,0.33094812164579607,0.5277280858676204,0.9570661896243293,0.0,0.5617173524150265,0.2271914132379248,0.07871198568872984,0.5867620751341684,0.0,0.6851520572450807,0.035778175313058984,0.6887298747763864,0.035778175313058984
Circle,0.7274256870443074,0.0,0.8738081884464386,0.03533370723499719,1.0,0.41166573191250705,0.628154795288839,0.8867077958496915,0.06561974200785192,0.7621985417835108,0.0,0.3230510375771172,0.2714526079641059,0.05552439708356694,0.5737521031968592,0.03589455973079081,0.6836791923724063,0.06561974200785192,0.6971396522714527,0.06561974200785192
Circle,0.7083333333333334,0.10326086956521736,0.7035024154589371,0.10326086956521736,0.7349033816425122,0.10748792270531402,1.0,0.34601449275362317,0.6733091787439612,0.8900966183574877,0.0,0.7892512077294681,0.012681159420290057,0.22101449275362292,0.45712560386473494,0.0,0.7373188405797103,0.06642512077294688,0.7844202898550724,0.0869565217391304
Circle,0.7831105710814096,0.08323207776427712,0.8055893074119076,0.08323207776427712,0.9422843256379104,0.14945321992709612,1.0,0.6482381530984207,0.24908869987849336,0.8523693803159179,0.0,0.33839611178614837,0.2600243013365733,0.02490886998784943,0.6184690157958683,0.0,0.7144592952612395,0.034021871202916214,0.7229647630619684,0.034021871202916214
Circle,0.692454026632847,0.14965123652504758,0.6740646797717182,0.14394419784400764,0.7095751426759669,0.15345592897907417,0.920735573874445,0.5149017121116042,0.440710209258085,1.0,0.0,0.5998731769181993,0.16169942929613146,0.10779961953075473,0.6043119847812296,0.0,0.7311350665821181,0.02409638554216871,0.7495244134432465,0.04121750158528856
Circle,0.8092307692307691,0.0,0.7953846153846152,0.0,0.8220512820512819,0.0010256410256410545,1.0,0.27846153846153815,0.6184615384615385,0.8020512820512817,0.0,0.5697435897435895,0.07999999999999989,0.13538461538461558,0.5466666666666665,0.013846153846153841,0.7394871794871792,0.03025641025641025,0.7492307692307691,0.023076923076923068
Circle,0.7749999999999999,0.028571428571428706,0.7607142857142856,0.023214285714285847,0.8107142857142855,0.03571428571428582,1.0,0.38750000000000023,0.5821428571428571,0.8660714285714288,0.0,0.603571428571429,0.16964285714285698,0.08750000000000015,0.7821428571428567,0.0,0.982142857142857,0.06607142857142871,0.9785714285714285,0.06071428571428585
Circle,0.9222712238147741,0.10804851157662625,0.8914002205071666,0.10308710033076075,0.9206174200661521,0.11466372657111362,1.0,0.5033076074972439,0.3781697905181917,0.8335170893054027,0.0,0.39470782800441034,0.2772877618522604,0.012127894156560013,0.6670341786108048,0.0,0.7910694597574421,0.058434399117971325,0.7982359426681368,0.04851157662624034
Circle,0.8684759916492694,0.16283924843423797,0.8392484342379958,0.1440501043841336,0.9373695198329854,0.18162839248434237,1.0,0.5448851774530271,0.5448851774530271,0.9269311064718162,0.0,0.6701461377870559,0.060542797494780906,0.16283924843423797,0.5427974947807938,0.0,0.8496868475991649,0.052192066805845566,0.8810020876826723,0.06263048016701461
