label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19
Circle,0.5300906842539159,0.03915910964550701,0.5300906842539159,0.03915910964550701,0.5300906842539159,0.03915910964550701,0.5300906842539159,0.03915910964550701,0.5663643858202804,0.03915910964550701,0.7283594394064304,0.06183017312448473,0.9212695795548229,0.17559769167353678,1.0,0.3668590272052762,0.917971970321517,0.5535861500412201,0.7271228359439409,0.6731244847485574,0.4620774938169827,0.7028029678483102,0.21764220939818651,0.6488046166529269,0.07131079967023911,0.5362737015663643,0.0,0.37798845836768374,0.024732069249793712,0.2225886232481452,0.11871393239901054,0.09892827699917575,0.244435284418796,0.024732069249793938,0.3252267106347897,0.0004122011541632434,0.361500412201154,0.0,0.38128606760098926,0.0
Circle,0.5713868613138685,0.033284671532846706,0.5713868613138685,0.02832116788321169,0.5713868613138685,0.023357664233576672,0.5751824817518246,0.022189781021897805,0.6151824817518247,0.022189781021897805,0.7500729927007298,0.04116788321167889,0.9150364963503647,0.14248175182481743,1.0,0.3351824817518248,0.9637956204379561,0.5302189781021898,0.7664233576642333,0.6557664233576641,0.4934306569343063,0.6931386861313868,0.2230656934306566,0.6581021897810215,0.060145985401459816,0.5249635036496351,0.0,0.3462773722627734,0.0872992700729928,0.17343065693430643,0.2665693430656937,0.060437956204379376,0.44846715328467157,0.009343065693430606,0.5471532846715327,0.0,0.576934306569343,0.0,0.576934306569343,0.0
Circle,0.6688429452303228,0.11715632934348934,0.6550598476605006,0.11715632934348934,0.6481682988755895,0.11715632934348934,0.6481682988755895,0.11715632934348934,0.6481682988755895,0.11715632934348934,0.6967718534639101,0.11715632934348934,0.8661588683351471,0.17482771128037736,1.0,0.3706927820094306,0.9590134203844757,0.6579615524120425,0.6191512513601737,0.8585418933623506,0.24156692056583212,0.8596300326441785,0.012332245194051468,0.6815379035183172,0.0,0.42437431991294894,0.1987667754805951,0.19187522669568355,0.4740660137830973,0.0544069640914037,0.6902430177729417,0.0036271309394270176,0.8081247733043164,0.0,0.8505622052956112,0.0,0.8618063112078347,0.0,0.8618063112078347,0.0
Circle,0.4415675297410777,0.006648005598320504,0.4398180545836251,0.006648005598320504,0.42827151854443674,0.006648005598320504,0.4216235129461162,0.006648005598320504,0.4149755073477957,0.0,0.4212736179146255,0.0,0.5524842547235825,0.0038488453463960013,0.8271518544436669,0.0724282715185444,1.0,0.26731980405878236,0.893631910426872,0.5958712386284114,0.47585724282715175,0.7890132960111965,0.11511546536039194,0.7204338698390481,0.0,0.42547235829251256,0.22603219034289693,0.18859342197340823,0.4293212036389082,0.08152554233729885,0.5199440167949615,0.05353393981805459,0.5412876137158853,0.05318404478656403,0.5412876137158853,0.05318404478656403,0.5412876137158853,0.05318404478656403,0.5412876137158853,0.05318404478656403
Circle,0.7779420461265523,0.06179775280898876,0.7779420461265523,0.06179775280898876,0.7779420461265523,0.06179775280898876,0.7723240685984624,0.06179775280898876,0.7566528681253696,0.06179775280898876,0.729745712596097,0.05854523950325258,0.7569485511531636,0.056179775280898875,0.9133648728562976,0.13719692489651084,1.0,0.49556475458308696,0.7829686575990534,0.7300413956238914,0.3036664695446478,0.7755765819041985,0.02158486102897691,0.6345357776463633,0.0,0.37315198107628594,0.22915434654050887,0.1395623891188644,0.4899467770549968,0.029863985807214718,0.6369012418687167,0.001478415138971065,0.694263749260792,0.0,0.7125960969840329,0.0,0.7161442933175635,0.0,0.7161442933175635,0.0
Circle,0.6209322779243623,0.0,0.6125769569041337,0.0,0.6125769569041337,0.0,0.6112576956904135,0.0,0.5941072999120492,0.0,0.5875109938434477,0.0,0.6116974494283206,0.0,0.7955145118733514,0.009234828496042244,1.0,0.1811785400175906,0.9929639401934914,0.638522427440634,0.4256816182937551,0.869393139841689,0.025505716798592332,0.7115215479331575,0.0,0.3979771328056284,0.30386983289357977,0.1684256816182936,0.635883905013193,0.06508355321020226,0.8157431838170626,0.050131926121372045,0.8856640281442397,0.050131926121372045,0.9041336851363238,0.050131926121372045,0.9050131926121373,0.050131926121372045,0.9050131926121373,0.050131926121372045
Circle,0.7076923076923076,0.06820512820512821,0.7066666666666666,0.06820512820512821,0.7028205128205128,0.06820512820512821,0.7028205128205128,0.06820512820512821,0.6979487179487179,0.06820512820512821,0.6979487179487179,0.06333333333333334,0.7141025641025641,0.06333333333333334,0.8130769230769231,0.07743589743589743,0.9505128205128206,0.16179487179487184,1.0,0.3682051282051283,0.7758974358974353,0.590769230769231,0.3615384615384612,0.6676923076923076,0.07948717948717926,0.5705128205128206,0.0,0.3799999999999998,0.12897435897435905,0.1892307692307691,0.32128205128205156,0.07333333333333321,0.4838461538461539,0.018974358974358962,0.5658974358974358,0.00205128205128211,0.5984615384615384,0.0,0.6151282051282051,0.0
Circle,0.6370819067685016,0.06004740584672111,0.6320779562812748,0.06004740584672111,0.6320779562812748,0.06004740584672111,0.6320779562812748,0.06004740584672111,0.6368185409533845,0.06004740584672111,0.7450618909665526,0.06689491703976816,0.9312615222544115,0.12483539636555191,1.0,0.2770608375032922,0.8841190413484333,0.5064524624703715,0.5622860152752176,0.6757966815907297,0.20621543323676594,0.640242296549908,0.0,0.42533579141427463,0.05794047932578375,0.17355807216223318,0.27311035027653435,0.032657361074532466,0.44298130102712685,0.0,0.5075059257308405,0.010271266789570722,0.5219910455622861,0.023966289175665043,0.5219910455622861,0.027653410587305777,0.5219910455622861,0.031340531998946576,0.5219910455622861,0.03502765341058731
Circle,0.6493979277513301,0.005320638476617195,0.6493979277513301,0.005320638476617195,0.6493979277513301,0.005320638476617195,0.6493979277513301,0.005320638476617195,0.6446373564827779,0.005320638476617195,0.644077289274713,0.0,0.6914029683562027,0.0,0.8468216185942317,0.038364603752450335,0.9862783534024081,0.18118174180901728,1.0,0.4029683562027445,0.7787734528143377,0.6255950714085691,0.39456734808176946,0.7107252870344442,0.09633155978717418,0.6034724166900026,0.0,0.3618034164099688,0.15513861663399628,0.14253710445253398,0.37580509661159356,0.03500420050406043,0.5219826379165501,0.005320638476617195,0.575189022682722,0.005320638476617195,0.5802296275553066,0.005320638476617195,0.5802296275553066,0.005320638476617195
Circle,0.5273802115743622,0.04729309271935284,0.5273802115743622,0.04729309271935284,0.5273802115743622,0.04729309271935284,0.5273802115743622,0.04729309271935284,0.5273802115743622,0.04729309271935284,0.5273802115743622,0.04729309271935284,0.5273802115743622,0.04729309271935284,0.5273802115743622,0.04729309271935284,0.5544492843808339,0.04729309271935284,0.7261978842563785,0.08245177349097699,0.9595519601742376,0.2601120099564406,1.0,0.5609831985065341,0.7009956440572495,0.7641568139390172,0.2744243932794026,0.7461107654013692,0.009334163036714475,0.5544492843808343,0.0,0.2874922215308026,0.2274424393279401,0.09676415681393893,0.42252644679527057,0.01586807716241439,0.5046670815183573,0.0,0.515556938394524,0.0
