label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29
Circle,0.5338386572820791,0.0392528424472117,0.5338386572820791,0.0392528424472117,0.5338386572820791,0.0392528424472117,0.5338386572820791,0.0392528424472117,0.5338386572820791,0.0392528424472117,0.5360043313481323,0.0392528424472117,0.5636166756903088,0.0392528424472117,0.6537628586897674,0.04385489983757461,0.782349756361668,0.08012994044396313,0.911207363291825,0.15917704385489992,0.9872766648619385,0.27883053600433144,1.0,0.4087709799675151,0.9407146724417974,0.5319436924742827,0.838657282079047,0.6288576069301571,0.6876015159718465,0.6857065511640499,0.5121819166215485,0.7051976177585276,0.3354087709799675,0.6873308067135898,0.19436924742826212,0.6383324309691394,0.0961017866811045,0.5671358960476451,0.03302652950730908,0.46643205197617776,0.0,0.3624796968056307,0.011911207363291858,0.25852734163508384,0.06334596643205212,0.16892257715213846,0.12939902544667028,0.0914997292907416,0.21467244179750947,0.03789929615592846,0.28668110449377376,0.012723335138061717,0.3302652950730917,0.0,0.3562533838657283,0.0,0.37168381158635627,0.0,0.3846778559826747,0.0
Circle,0.5694947569113442,0.033174451858913254,0.5694947569113442,0.033174451858913254,0.5694947569113442,0.02764537654909438,0.5694947569113442,0.023832221163012472,0.5694947569113442,0.022116301239275504,0.5776930409914205,0.022116301239275504,0.6076263107721641,0.022116301239275504,0.6827454718779791,0.025166825548141158,0.7900857959961869,0.05452812202097235,0.8987607244995236,0.12545281220209717,0.9719733079122976,0.2409914204003813,1.0,0.3771210676835083,0.9729265967588181,0.5050524308865588,0.8798856053384179,0.6040038131553862,0.7197330791229742,0.66463298379409,0.5414680648236418,0.6880838894184939,0.35271687321258355,0.6854146806482365,0.19408960915157308,0.6430886558627266,0.08312678741658713,0.5563393708293612,0.02135367016205909,0.4457578646329839,0.0,0.32526215443279327,0.05414680648236422,0.2095328884652047,0.15462345090562454,0.11725452812202093,0.27893231649189704,0.05471877979027649,0.4019065776930413,0.019065776930409853,0.4947569113441375,0.003241182078169637,0.5469971401334605,0.0,0.5706387035271687,0.0,0.5750238322211632,0.0,0.5750238322211632,0.0
Circle,0.6634460547504026,0.11341154819415691,0.6533241315850011,0.11341154819415691,0.6498734759604324,0.11341154819415691,0.6434322521279043,0.11341154819415691,0.6434322521279043,0.11341154819415691,0.6434322521279043,0.11341154819415691,0.6434322521279043,0.11341154819415691,0.6558546123763516,0.11341154819415691,0.7193466758684148,0.1161720726938119,0.8336783988957903,0.15965033356337696,0.9383482861743732,0.25626869105129985,1.0,0.4163791120312861,0.9763054980446287,0.5985737290085115,0.7906602254428343,0.7566137566137566,0.5498044628479415,0.8438003220611917,0.30687830687830714,0.8438003220611917,0.11916264090177134,0.7651253738210261,0.008741660915574052,0.6277892799631931,0.0,0.46514837819185667,0.08373590982286624,0.3041177823786521,0.23556475730388787,0.16816195077064638,0.41338854382332607,0.07407407407407424,0.5721187025534853,0.025764895330112707,0.6958822176213478,0.001380262249827402,0.7734069473199908,0.0,0.8217161260639522,0.0,0.8398895790200138,0.0,0.8500115021854152,0.0,0.8502415458937198,0.0,0.8502415458937198,0.0
Circle,0.4483557202408522,0.006716072255673921,0.4483557202408522,0.006716072255673921,0.4418712366836498,0.006716072255673921,0.4349235757295043,0.006716072255673921,0.42867068087077315,0.006716072255673921,0.4254284390921724,0.006716072255673921,0.42149143121815646,0.0006947660954145107,0.42149143121815646,0.0,0.4388605836035202,0.0,0.5368226030569709,0.0023158869847152903,0.708429828624363,0.02894858730893922,0.8872163038443723,0.10352014821676686,1.0,0.23436776285317293,0.9958314034275125,0.4407132931912924,0.855257063455303,0.6491431218156555,0.569476609541454,0.7735062528948589,0.2748957850856873,0.8096340898564149,0.08777211672070392,0.6922186197313567,0.0,0.493747105141269,0.07966651227420098,0.3050023158869845,0.2589161648911533,0.17322834645669294,0.4029643353404357,0.09703566465956451,0.4842519685039367,0.06553960166743862,0.5303381194997683,0.05372857804539137,0.546317739694303,0.05372857804539137,0.549096804075961,0.05372857804539137,0.549096804075961,0.05372857804539137,0.549096804075961,0.05372857804539137,0.549096804075961,0.05372857804539137,0.549096804075961,0.05372857804539137
Circle,0.7834285714285713,0.06076190476190474,0.7834285714285713,0.06076190476190474,0.7834285714285713,0.06076190476190474,0.7834285714285713,0.06076190476190474,0.7779047619047618,0.06076190476190474,0.7746666666666664,0.06076190476190474,0.7651428571428569,0.06076190476190474,0.7434285714285712,0.06076190476190474,0.7329523809523806,0.05523809523809522,0.7535238095238095,0.05523809523809522,0.8409523809523807,0.07390476190476189,0.9430476190476187,0.19047619047619038,1.0,0.4396190476190471,0.9523809523809522,0.6299047619047614,0.7093333333333336,0.7371428571428568,0.3908571428571432,0.7664761904761902,0.15638095238095256,0.7163809523809523,0.015047619047619323,0.5939047619047617,0.0,0.4224761904761903,0.09523809523809534,0.2510476190476189,0.27295238095238106,0.12266666666666656,0.44780952380952344,0.04476190476190488,0.5744761904761905,0.012380952380952366,0.6518095238095236,0.0005714285714285441,0.6908571428571427,0.0,0.7108571428571429,0.0,0.7196190476190474,0.0,0.7226666666666665,0.0,0.7226666666666665,0.0,0.7226666666666665,0.0
Circle,0.6007423117709438,0.0,0.5930540827147401,0.0,0.5930540827147401,0.0,0.5930540827147401,0.0,0.5930540827147401,0.0,0.5874867444326618,0.0,0.5771474019088015,0.0,0.5699893955461294,0.0,0.5699893955461294,0.0,0.5824496288441143,0.0,0.6651643690349945,0.0,0.813626723223754,0.01829268292682928,0.932131495227996,0.11664899257688219,1.0,0.3841463414634147,0.8886532343584306,0.6474019088016968,0.5108695652173914,0.794538706256628,0.20943796394485667,0.7674973488865325,0.01802757158006336,0.617709437963945,0.0,0.4249734888653234,0.13123011664899253,0.2558324496288442,0.3449098621420998,0.13865323435843063,0.5535524920466598,0.07131495227995766,0.6964475079533408,0.049310710498409197,0.788706256627784,0.04612937433722165,0.8356309650053024,0.04612937433722165,0.851537645811241,0.04612937433722165,0.8618769883351007,0.04612937433722165,0.8621420996818665,0.04612937433722165,0.8621420996818665,0.04612937433722165,0.8621420996818665,0.04612937433722165
Circle,0.7115547284723399,0.06868550160717309,0.7115547284723399,0.06868550160717309,0.7071561495516836,0.06868550160717309,0.7066486212146846,0.06868550160717309,0.7066486212146846,0.06868550160717309,0.7054643884283541,0.06868550160717309,0.7017425139570295,0.06868550160717309,0.7017425139570295,0.0680087971578413,0.7017425139570295,0.06377939434951786,0.7124006090340045,0.06377939434951786,0.7597699204872272,0.06614785992217898,0.8490949077990187,0.08695652173913042,0.9411267129081377,0.14498392826932846,1.0,0.25461004906107265,0.9856200304517005,0.41651158856369475,0.8364066993740485,0.5657249196413469,0.5795973608526479,0.6526814413804772,0.3106073422432755,0.6679072914904418,0.11706986973439351,0.6081881238369141,0.01657925900862799,0.4939942480121807,0.0,0.36136017594315695,0.0894941634241248,0.23244797834545752,0.2087633226188463,0.13144983928269321,0.33513787853155136,0.06936220605650485,0.44848587379462046,0.030451700219928903,0.5273219421417696,0.008797157841312856,0.570631026899002,0.0016917611233293525,0.5948232109626121,0.0,0.6090340043985789,0.0,0.6183386905768907,0.0
Circle,0.6445751860183422,0.05848762761723485,0.6405952586952759,0.05848762761723485,0.6395570167849108,0.05848762761723485,0.6395570167849108,0.05848762761723485,0.6395570167849108,0.05848762761723485,0.6395570167849108,0.05848762761723485,0.6433639037895829,0.05848762761723485,0.6845474995673991,0.05848762761723485,0.8010036338466862,0.07371517563592324,0.9268039453192592,0.1135144488665859,0.9984426371344522,0.19518947914864165,1.0,0.31874026648209036,0.9169406471707907,0.4739574320816751,0.747707215781277,0.6125627271154178,0.5000865201591966,0.6912960719847726,0.2661360096902576,0.6643017823152795,0.08738536078906375,0.5500951721751168,0.0,0.3888215954317357,0.03253157985810678,0.22062640595258706,0.15365980273403718,0.09050008652015909,0.30230143623464234,0.022495241391244283,0.41979581242429476,0.0,0.48520505277729703,0.0005191209551826042,0.5165253504066446,0.009517217511680246,0.5291572936494202,0.018515314068177958,0.5291572936494202,0.023360442983215123,0.5291572936494202,0.026475168714310462,0.5291572936494202,0.02837861221664651,0.5291572936494202,0.0333967814500779,0.5291572936494202,0.0333967814500779
Circle,0.6330374932077522,0.005252671617460603,0.6330374932077522,0.005252671617460603,0.6330374932077522,0.005252671617460603,0.6330374932077522,0.005252671617460603,0.6330374932077522,0.005252671617460603,0.6330374932077522,0.005252671617460603,0.6292338344502808,0.005252671617460603,0.6277848215902916,0.0034414055424742246,0.6277848215902916,0.0,0.6650969027350119,0.0,0.7522188009418579,0.009599710197427943,0.8628871581235282,0.05669262814707484,0.9512769425828654,0.1537764897663465,1.0,0.2849121535953629,0.9612389059952906,0.43814526353921385,0.814526353921391,0.5884803477630861,0.5808730302481439,0.6795870313349027,0.3312805651150158,0.6980619452997645,0.13004890418402504,0.6333997464227495,0.010505343234921355,0.4975547907987683,0.0,0.331642818330013,0.09491034232928837,0.18148886071363868,0.23455895671074092,0.08458612570186555,0.3763810903821772,0.030972649882267722,0.48052888969389584,0.0063394312624524005,0.5335989856909981,0.005252671617460603,0.5602245969932982,0.005252671617460603,0.5647527621807643,0.005252671617460603,0.5647527621807643,0.005252671617460603,0.5647527621807643,0.005252671617460603
Circle,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.5358805275407293,0.044996121024049644,0.548487199379364,0.044996121024049644,0.6283941039565555,0.05197827773467802,0.7672614429790537,0.09600465477114048,0.9189294026377037,0.2075252133436774,1.0,0.3787820015515904,0.9705197827773469,0.5750581846392551,0.7808378588052752,0.6978277734678044,0.5126066718386342,0.7505818463925521,0.25717610550814574,0.6986035686578741,0.08572536850271541,0.5833979829325057,0.0,0.4216446858029474,0.04538401861908496,0.25756400310318045,0.1828937160589609,0.12587276958882837,0.3324282389449186,0.05294802172226536,0.43987587276958884,0.014158262218774262,0.5019394879751747,0.0009697439875872574,0.5213343677269201,0.0,0.5246314972847169,0.0
